Mach,CD
0.61,0.7438694422271109145777995797
0.62,0.7450212167466590716527712087
0.63,0.7461833890971142109290311307
0.64,0.7473554544112158517855340022
0.65,0.7485372098729330454191427825
0.66,0.7497284832987703886785526156
0.67,0.7509286967945853858522418874
0.68,0.7521377271666632407635550108
0.69,0.7533554491855404498122396321
0.70,0.7545813060004193887933537762
0.71,0.7558152092332268390282508155
0.72,0.7570570807352685677308736595
0.73,0.7583063870393265397101029269
0.74,0.7595630688256700080912342924
0.75,0.7608270754448289279811927082
0.76,0.7620979058368481484869278692
0.77,0.7633755125366399243716599688
0.78,0.7646598747597412066555366589
0.79,0.7659505072886419044008719320
0.80,0.7672473965693991165271857609
0.81,0.7685503803930365031834267613
0.82,0.7698593025840227618228115888
0.83,0.7711740127096686075965298131
0.84,0.7724945208040872555253375273
0.85,0.7738203771207700403855556940
0.86,0.7751516018745803262229716466
0.87,0.7764882200204281482886212256
0.88,0.7778297960448505444212488823
0.89,0.7791763637467577900932102452
0.90,0.7805279610522959066569895973
0.91,0.785835551187452
0.92,0.801758321592918
0.93,0.837751612112025
0.94,0.885854037542037
0.95,0.93395646297205
0.96,0.982058888402062
0.97,1.03016131383207
0.98,1.07826373926209
0.99,1.1263661646921
1.00,1.17446859012211
1.01,1.22257101555212
1.02,1.27067344098214
1.03,1.31877586641215
1.04,1.36687829184216
1.05,1.4149807172721747008332734238
1.06,1.4090949055572706457300675750
1.07,1.4051740338469894898926907898
1.08,1.4025685738765737868635161925
1.09,1.4008890428667875484720813826
1.10,1.3998856863316353070339266966
1.11,1.3993898857065869852762745370
1.12,1.3992830697448149651317784077
1.13,1.3994790785144682414637341969
1.14,1.3999135763650427254388778544
1.15,1.4005373689968379153579945406
1.16,1.4004205736833752776212362436
1.17,1.4003955419617833633173928671
1.18,1.4004705849670201944705672184
1.19,1.4002808898070801485682123923
1.20,1.3992565912903698151189953707
1.21,1.3982937762929132356692045192
1.22,1.3973811439011214216444746590
1.23,1.3965088554905207295625757560
1.24,1.3956689286039264626293935141
1.25,1.3948542940478584905093019421
1.26,1.3940588412563703521765600218
1.27,1.3932775228090528187588483280
1.28,1.3925058584071505642172545828
1.29,1.3917399785958218591925845076
1.30,1.3909763277341224623513747392
1.31,1.3902122762709606979889799637
1.32,1.3894449773419347497960657037
1.33,1.3886724030311297665429621112
1.34,1.3878924279008262418411322572
1.35,1.3871035495227871232150084362
1.36,1.3863041256371060764259488633
1.37,1.3854929628723298614509198108
1.38,1.3846689777729645765452069776
1.39,1.3838312306565516649650968782
1.40,1.3829787927084946119600817186
1.41,1.3821109915109987394321065283
1.42,1.3812272143696935470929007519
1.43,1.3803271198622473308454882012
1.44,1.3794101569714467999230441084
1.45,1.3784760843341276293320858243
1.46,1.3775245927842117098774751317
1.47,1.3765553841376811444137946652
1.48,1.3755685748324361851546957182
1.49,1.3745638402951842522312401547
1.50,1.3735411900811428853930623973
1.51,1.3725007086280796196023173158
1.52,1.3714423103568057815405617041
1.53,1.3703662320340405889813833820
1.54,1.3692723511824094885381077476
1.55,1.3681609748424894193379572178
1.56,1.3670321125924492297621282724
1.57,1.3658860977623913896022132821
1.58,1.3647229657687242759862948956
1.59,1.3635429913033830186759837706
1.60,1.3623463550907181994510176498
1.61,1.3611333689943863190630000236
1.62,1.3599041799965300076101882806
1.63,1.3586591801077567024849850590
1.64,1.3573984330288499490524352630
1.65,1.3561224036623595821177218891
1.66,1.3548313014122398989357256524
1.67,1.3535253025065812237750893999
1.68,1.3522049383359790066311533456
1.69,1.3508702846357022782271410456
1.70,1.3495217398882296467244387281
1.71,1.3481595292951543373142077298
1.72,1.3467839385568023183637345562
1.73,1.3453954096020406500079245050
1.74,1.3439941258634199011280360745
1.75,1.3425805021238082682035971512
1.76,1.3411546564326226780601498692
1.77,1.3397169672998230959209827151
1.78,1.3382677788596554174210306289
1.79,1.3368073781543706924833263507
1.80,1.3353359498483799793427853382
1.81,1.3338539171631409581431691972
1.82,1.3323615467172231954324918236
1.83,1.3308590851279928000044864647
1.84,1.3293467755752363133807916782
1.85,1.3278249045089816562412133207
1.86,1.3262937831451313834356486962
1.87,1.3247536738131885250542170413
1.88,1.3232048333517505809595398499
1.89,1.3216475666761278387075149198
1.90,1.3200821164707664052643708165
1.91,1.3185086789602826164903501057
1.92,1.3169275821978284097947655041
1.93,1.3153389729114501264660286536
1.94,1.3137431331471622965879409290
1.95,1.3121403698541687733747700460
1.96,1.3105307759702625004991896126
1.97,1.3089147471267343110470634959
1.98,1.3072924159634268027393734970
1.99,1.3056639368858700131518156854
2.00,1.3040296089858512727132976144
2.01,1.3028055245703460925170302223
2.02,1.3015631449765009948935406005
2.03,1.3003162813206130624725379668
2.04,1.2990651246874009218547286649
2.05,1.2978098542481237246883931940
2.06,1.2965507312078430286903873854
2.07,1.2952880524026404308105884364
2.08,1.2940218299974543415978030220
2.09,1.2927524953393718498475575954
2.10,1.2914800337711007747441403129
2.11,1.2902046514584358814528952824
2.12,1.2889267451771059295915326505
2.13,1.2876463000172134335736187901
2.14,1.2863635236250807162359199034
2.15,1.2850785686253647418899635455
2.16,1.2837917327746824246693170829
2.17,1.2825029971025827717910245546
2.18,1.2812126974062827234797833178
2.19,1.2799209359498396070965060484
2.20,1.2786277367351133454822466055
2.21,1.2773333927778072480177281100
2.22,1.2760380423322309675320095425
2.23,1.2747417107945156796048035917
2.24,1.2734446687960012263504076243
2.25,1.2721469632742046175106427573
2.26,1.2708486955922451854326933606
2.27,1.2695500436246840548627578592
2.28,1.2682512006155686078625977698
2.29,1.2669521162165490677369945700
2.30,1.2656529954631431701711050583
2.31,1.2643539555001129427397269494
2.32,1.2630551224153387335992851252
2.33,1.2617565041272711076121421411
2.34,1.2604582035925041064511093147
2.35,1.2591604392398952335417709350
2.36,1.2578632931180228031450877125
2.37,1.2565666748291559522972832745
2.38,1.2552707668955507114820615451
2.39,1.2539757869642307656743975573
2.40,1.2526816032660028671020529984
2.41,1.2513884046226127504133262725
2.42,1.2500962854267244714714030113
2.43,1.2488051983982023748405732315
2.44,1.2475153615813813185113171773
2.45,1.2462268135911793103175557898
2.46,1.2449394405463426419612473950
2.47,1.2436535114176920592863281356
2.48,1.2423689982062782221313224378
2.49,1.2410859475234560585884835846
2.50,1.2398044412327707600192891833
2.51,1.2385245111806031445002607677
2.52,1.2372461507851609224914028831
2.53,1.2359694794385049155035934147
2.54,1.2346945743601077286593294999
2.55,1.2334213697407524826151847032
2.56,1.2321499188164761466959672575
2.57,1.2308803622289293278046702465
2.58,1.2296126365289242197357367847
2.59,1.2283467990776723714302739156
2.60,1.2270827820559730037746507615
2.61,1.2258208181887190866966830225
2.62,1.2245608464926432030788201104
2.63,1.2233028031931054752973340231
2.64,1.2220467953998319618089801526
2.65,1.2207927843715574642425605177
2.66,1.2195407620595470547691814201
2.67,1.2182908894737505326239049874
2.68,1.2170430722111182982706533781
2.69,1.2157974281051795183922790427
2.70,1.2145537784852307277497798582
2.71,1.2133122380057828987331128358
2.72,1.2120728455009176439651994765
2.73,1.2108355918153053361378262346
2.74,1.2096003815645687168495118408
2.75,1.2083673718413511816253737774
2.76,1.2071364263795619374593525925
2.77,1.2059076687843565034691147569
2.78,1.2046809074917600596955311220
2.79,1.2034563439728883514443766568
2.80,1.2022338945974258411041747066
2.81,1.2010135459231652513820639348
2.82,1.1997953144674869767930052833
2.83,1.1985791919814053531543102224
2.84,1.1973650734034068136294731696
2.85,1.1961530664419774856692107493
2.86,1.1949430633344509219482439498
2.87,1.1937351020003379374920340782
2.88,1.1925291770631773363877143056
2.89,1.1913252386580370184808455868
2.90,1.1901232976494893272135501686
2.91,1.1889233392764555210296342265
2.92,1.1877252967917527236016112712
2.93,1.1865291983113377698920078669
2.94,1.1853349886309177476696329302
2.95,1.1841426513840290711040093117
2.96,1.1829521884878200409353941386
2.97,1.1817635259853165886811435521
2.98,1.1805766880631029123217479461
2.99,1.1793916096955456950437283656
3.00,1.1782082789963506885747966149
3.01,1.1770963220690738448377679339
3.02,1.1760670543239619858109105755
3.03,1.1750396319510306355902970738
3.04,1.1740140603734010430689160168
3.05,1.1729903914715814329193382093
3.06,1.1719686211307250425660579195
3.07,1.1709488047032644714941572460
3.08,1.1699309652240060252834560980
3.09,1.1689151130788384754274600962
3.10,1.1679012780187512938617732605
3.11,1.1668895003750754148091981509
3.12,1.1658797918452070792961891798
3.13,1.1648721810275605900535372721
3.14,1.1638666854862812276232479810
3.15,1.1628633195874460338725386121
3.16,1.1618621003484041957767630309
3.17,1.1608630570364156072724828311
3.18,1.1598662233384654556266930591
3.19,1.1588715926063200577701302184
3.20,1.1578791876890261666443447345
3.21,1.1568890717319779558203054573
3.22,1.1559011862326833244069829969
3.23,1.1549155913983619718164226190
3.24,1.1539322890503965602880424389
3.25,1.1529512913667749518674821178
3.26,1.1519726387837537358784184561
3.27,1.1509963116665777713418541304
3.28,1.1500223499270858834657629365
3.29,1.1490507495773528280812824770
3.30,1.1480815378449848663406898426
3.31,1.1471147127111371549020908550
3.32,1.1461502779358746128405433076
3.33,1.1451882608176023263659036609
3.34,1.1442286752022215859275443484
3.35,1.1432715094072245538897539815
3.36,1.1423167869121216030060571999
3.37,1.1413645307625847442106976537
3.38,1.1404147151871706416944138517
3.39,1.1394673612837006532943970663
3.40,1.1385224961228421442409285249
3.41,1.1375801097653972833753499077
3.42,1.1366402139293184996493725864
3.43,1.1357028007668302205410547504
3.44,1.1347679081358375288495986960
3.45,1.1338354905971431258560881438
3.46,1.1329055979249608160192029377
3.47,1.1319782285333208354274804711
3.48,1.1310533720164766451080405572
3.49,1.1301310460554799131357316782
3.50,1.1292112229061989382623501981
3.51,1.1282939586806013652605053804
3.52,1.1273792115248849840741110889
3.53,1.1264670093647798198988267500
3.54,1.1255573370562301327771945193
3.55,1.1246502111391303765364559551
3.56,1.1237456192953153533894538358
3.57,1.1228435751898199246302735843
3.58,1.1219440789056883765723899826
3.59,1.1210471133603712604759076681
3.60,1.1201527149850264165786689020
3.61,1.1192608387288001419084517083
3.62,1.1183715157777776988515149125
3.63,1.1174847469724128376980225410
3.64,1.1166005127991714890533499613
3.65,1.1157188271168756348159850952
3.66,1.1148396648973984842862685566
3.67,1.1139630662729118053628521636
3.68,1.1130889991133247314756824102
3.69,1.1122174535391163457131358655
3.70,1.1113484722633068871775373062
3.71,1.1104819884887505848100812414
3.72,1.1096180714096083754747831890
3.73,1.1087566473635835530949555770
3.74,1.1078977655611285365069597636
3.75,1.1070414076866335675315617744
3.76,1.1061875453252172302030652406
3.77,1.1053362162400809483894640884
3.78,1.1044873927276056166168881463
3.79,1.1036410646467492715633893084
3.80,1.1027972501176639364455047848
3.81,1.1019559336554238204173015271
3.82,1.1011170928514767559732682548
3.83,1.1002807468262674760457547592
3.84,1.0994468774735402341736708846
3.85,1.0986154893608862892586721737
3.86,1.0977865786076737368050185727
3.87,1.0969601287657330689114222347
3.88,1.0961361410010013526248987348
3.89,1.0953145941874316187709993362
3.90,1.0944955028795826410891676811
3.91,1.0936788520253361550537608589
3.92,1.0928646451954040180299312761
3.93,1.0920528571134053991713134942
3.94,1.0912435004014809659706304928
3.95,1.0904365546849652023622995399
3.96,1.0896320184667191003290359108
3.97,1.0888298848410231761198762963
3.98,1.0880301374966791810345986888
3.99,1.0872327891414601793610953192
4.00,1.0864378172234325629210758782
4.01,1.0856452112270612239970948671
4.02,1.0848549727842563342380785731
4.03,1.0840670846404978551803015601
4.04,1.0832815486002501846375836770
4.05,1.0824983631197873728304528200
4.06,1.0817174994305689044063841571
4.07,1.0809389558599146655964693785
4.08,1.0801627330322119999008998352
4.09,1.0793888242566893108479697448
4.10,1.0786171993506599050126596780
4.11,1.0778478761949854633001702641
4.12,1.0770808221521456280602823247
4.13,1.0763160465917734471863456562
4.14,1.0755535329827077857604646843
4.15,1.0747932804084670085626287814
4.16,1.0740352626904132467292136696
4.17,1.0732794872082864159742238704
4.18,1.0725259326859815737605210133
4.19,1.0717745849859919767712758106
4.20,1.0710254629905657610060592585
4.21,1.0702785293044813257541814928
4.22,1.0695337825508062155944414789
4.23,1.0687912192065845009679813915
4.24,1.0680508296907754934087393481
4.25,1.0673125813209361476938302787
4.26,1.0665764864955728963821270048
4.27,1.0658425201927638512132769437
4.28,1.0651106985825578375052451732
4.29,1.0643809916866895378505267767
4.30,1.0636533956202232997377922262
4.31,1.0629278770579835492216712828
4.32,1.0622044699267687797983046236
4.33,1.0614831198069536280462045625
4.34,1.0607638305444253845595493907
4.35,1.0600466175276669011893142609
4.36,1.0593314265256562108467217232
4.37,1.0586182850304903423102335554
4.38,1.0579071581547885046894690111
4.39,1.0571980487152783777669340261
4.40,1.0564909425056627162185245892
4.41,1.0557858267607212716364601580
4.42,1.0550826753484587767424940356
4.43,1.0543815046421986604946238746
4.44,1.0536822873277039944680608002
4.45,1.0529850095887288382274493554
4.46,1.0522896759587207876408006849
4.47,1.0515962561681621631071984954
4.48,1.0509047555554241309808234846
4.49,1.0502151491564864634920490788
4.50,1.0495274387277974709854261419
4.51,1.0488415907674253002890025198
4.52,1.0481576261959196110746609207
4.53,1.0474755113478983539561927289
4.54,1.0467952405434243140087847402
4.55,1.0461167997142069032034786444
4.56,1.0454401833807343555592290061
4.57,1.0447653632220643293807165263
4.58,1.0440923451860216798232291349
4.59,1.0434211134886328924910933169
4.60,1.0427516639240769383116339838
4.61,1.0420839706797397655590490919
4.62,1.0414180154024642641954944481
4.63,1.0407538029234438508038279294
4.64,1.0400913288962436734574786055
4.65,1.0394305574835547082194405165
4.66,1.0387714933253196039484618030
4.67,1.0381141180530664223129653355
4.68,1.0374584169263776146923192319
4.69,1.0368043840110834115466672213
4.70,1.0361520141513040657594556710
4.71,1.0355012716879116282868637962
4.72,1.0348521813938390815319953663
